@relation anomalous-traffic

@attribute ts numeric
@attribute pkts numeric
@attribute cd numeric
@attribute lle numeric
@attribute sampen numeric
@attribute rec numeric
@attribute det numeric
@attribute ent numeric
@attribute trend numeric
@attribute lam numeric
@attribute class {normal, anomaly}

@data

1276226661.46,1231,0.114536330476,-0.00724673471768,0.00165808449213,0.40242333174,0.999646971765,4.73946087088,-0.000600904668678,0.916704006192,normal
1276226706.46,1516,0.050552738197,-0.00400885828741,0.00106100250262,0.537273184864,0.999558634565,4.65444958268,-0.000413101574504,0.894356268513,normal
1276226751.46,1446,0.0333729350641,0.000448159404135,0.00229428688271,0.574473868883,0.999681108508,4.66679731705,-0.000385454136873,0.895601611945,normal
1276226796.46,1127,0.0756699554328,0.00666507465935,0.00439702527817,0.430628267971,0.999749411497,4.59704989012,-0.000568276309076,0.895910851242,normal
1276227246.46,1032,1.61799174454,-0.000443725374518,0.0386115318001,0.000989119683482,1.0,-0.0,0.0,0.0,normal
1276227561.46,1038,1.72787302191,-0.00054606826348,0.0745989347711,0.000983284169125,1.0,-0.0,0.0,0.0,normal
1276227606.46,1196,1.34901012029,-0.000504917990946,0.0527756012513,0.000851063829787,1.0,-0.0,0.0,0.0,normal
1276227651.46,1186,1.31246489327,-0.000656374156206,0.0484237065395,0.000858369098712,1.0,-0.0,0.0,0.0,normal
1276227696.46,1201,1.38015030778,8.69605978365e-05,0.0464043294483,0.000847457627119,1.0,-0.0,0.0,0.0,normal
1276227741.46,1284,1.34633795043,0.000292241595011,0.0475916503927,0.000791765637371,1.0,-0.0,0.0,0.0,normal
1276227786.46,1208,1.418426851,-0.00134085510851,0.0480425308719,0.000842459983151,1.0,-0.0,0.0,0.0,normal
1276227831.46,1278,1.73819725883,0.000710782387887,0.0489316948193,0.00079554494829,1.0,-0.0,0.0,0.0,normal
1276227876.46,1265,1.6234504166,0.00106016842636,0.0450075619715,0.0008038585209,1.0,-0.0,0.0,0.0,normal
1276227921.46,1254,1.7864178698,-0.00037974741236,0.023000825831,0.00081103000811,1.0,-0.0,0.0,0.0,normal
1276227966.46,1193,1.22919447883,-0.000501963475933,0.0257977775557,0.000853242320819,1.0,-0.0,0.0,0.0,normal
1276228011.46,1158,1.15079169834,0.00070785845176,0.0251859832414,0.000879507475814,1.0,-0.0,0.0,0.0,normal
1276228056.46,1000,1.10129545581,0.0,0.0328727250937,0.00102145045965,1.0,-0.0,0.0,0.0,normal
1276229046.46,1100,1.31402680065,0.00155981505294,0.0425046592499,0.000926784059314,1.0,-0.0,0.0,0.0,normal
1276229091.46,1168,1.39789560925,0.000659224941859,0.045547155619,0.000871839581517,1.0,-0.0,0.0,0.0,normal
1276229136.46,1139,1.36288076354,-0.000121859707274,0.0464231494331,0.000894454382826,1.0,-0.0,0.0,0.0,normal
1276229181.46,1035,1.01009226479,0.00106760607731,0.0380597568174,0.000986193293886,1.0,-0.0,0.0,0.0,normal
1276230981.46,1040,1.17864225711,0.0,0.0511816037106,0.000981354268891,1.0,-0.0,0.0,0.0,normal
1276231521.46,1040,1.04204718573,0.0,0.0271829014452,0.000981354268891,1.0,-0.0,0.0,0.0,normal
1276231566.46,1081,1.27736141479,0.00156891542678,0.0275441879192,0.000943396226415,1.0,-0.0,0.0,0.0,normal
1276231611.46,1073,1.30146539108,-0.00100149368021,0.0394117632087,0.000950570342205,1.0,-0.0,0.0,0.0,normal
1276231656.46,1053,1.17057744019,-0.000589380170907,0.042826287684,0.000968992248062,1.0,-0.0,0.0,0.0,normal
1276233861.46,1046,1.12750329809,8.75405751066e-05,0.0360917051819,0.000975609756098,1.0,-0.0,0.0,0.0,normal
1276233906.46,1054,1.0799245438,0.00200780645713,0.0406083075696,0.000968054211036,1.0,-0.0,0.0,0.0,normal
1276234581.46,1269,1.04775850516,-0.00196813605782,0.0433578576646,0.000801282051282,1.0,-0.0,0.0,0.0,normal
1276234626.46,1291,1.0934624525,-0.00307230399953,0.0431032462916,0.000787401574803,1.0,-0.0,0.0,0.0,normal
1276234671.46,1274,1.09272993298,0.00193942862015,0.0430622752855,0.000798084596967,1.0,-0.0,0.0,0.0,normal
1276234716.46,1332,1.32455651601,0.00323377302725,0.0389158735725,0.000762776506484,1.0,-0.0,0.0,0.0,normal
1276234761.46,1058,1.61867624056,0.00151684499156,0.0738919199718,0.000964320154291,1.0,-0.0,0.0,0.0,normal
1276234806.46,1118,1.30373878956,-0.000382393643031,0.0449325982962,0.000911577028259,1.0,-0.0,0.0,0.0,normal
1276235571.46,1079,0.944111758335,-0.00255723420327,0.0656088978557,0.000945179584121,1.0,-0.0,0.0,0.0,normal
1276235616.46,1322,0.873187074948,-0.00143488024882,0.0543948431706,0.000768639508071,1.0,-0.0,0.0,0.0,normal
1276235661.46,1572,0.935049281268,-0.00196080408434,0.0518894128125,0.000644745325596,1.0,-0.0,0.0,0.0,normal
1276235706.46,1530,0.805243949619,-0.00113574017124,0.050760836929,0.000662690523526,1.0,-0.0,0.0,0.0,normal
1276235751.46,1489,0.758846523619,0.00191696724304,0.0494665223308,0.000681198910082,1.0,-0.0,0.0,0.0,normal
1276235796.46,1499,0.740554717366,0.000392925295,0.0419591561475,0.000676589986468,1.0,-0.0,0.0,0.0,normal
1276235841.46,1485,0.763181385575,-0.0028151270332,0.0431495256142,0.00068306010929,1.0,-0.0,0.0,0.0,normal
1276235886.46,1484,0.593480953365,0.000861944950668,0.0371334604053,0.000683526999316,1.0,-0.0,0.0,0.0,normal
1276235931.46,1548,0.779293603489,0.00206524635423,0.0472661858929,0.000654878847413,1.0,-0.0,0.0,0.0,normal
